id_cliente,ciudad,genero,edad,segmento_comercial,canal_preferido,fecha_registro,fecha_ultima_compra,recencia_dias,frecuencia,valor_monetario,ticket_promedio,unidades_compradas,r_score,f_score,m_score,rfm_score,rfm_puntaje_total,segmento_rfm,inactivo_90d_descriptivo,tiene_compras
C13880,Lima,No especificado,28.0,Masivo,App,2020-01-09,2025-10-12,80.0,14,29792.33,2128.0235714285714,72,2,3,5,235,10,Alto valor,False,True
C14472,Lima,F,47.0,Masivo,Tienda,2020-01-09,2025-12-13,18.0,17,12990.619999999999,764.1541176470588,77,4,5,3,453,12,Leales,False,True
C03604,Lima,M,38.0,Masivo,Web,2020-01-09,2025-12-02,29.0,9,20081.4,2231.266666666667,49,3,1,4,314,8,Regular,False,True
C11732,Cusco,M,24.0,Masivo,Tienda,2020-01-09,2025-07-24,160.0,10,7021.28,702.1279999999999,46,1,1,1,111,3,Bajo valor,True,True
C05497,Lima,F,33.0,Masivo,Tienda,2020-01-09,2025-09-29,93.0,10,5634.650000000001,563.465,49,2,1,1,211,4,Bajo valor,True,True
C03786,Trujillo,M,22.0,Masivo,Tienda,2020-01-09,2025-12-23,8.0,11,12313.33,1119.3936363636365,76,5,2,3,523,10,Nuevos o prometedores,False,True
C10512,Arequipa,M,27.0,Masivo,Tienda,2020-01-09,2025-12-24,7.0,8,21006.55,2625.81875,53,5,1,5,515,11,Nuevos o prometedores,False,True
C05253,Arequipa,M,41.0,Preferente,Web,2020-01-09,2025-06-21,193.0,11,2252.29,204.75363636363636,38,1,2,1,121,4,Bajo valor,True,True
C06587,Lima,M,37.0,Premium,App,2020-01-09,2025-11-23,38.0,9,6966.129999999999,774.0144444444444,52,3,1,1,311,5,Regular,False,True
C02938,Cusco,M,48.0,Masivo,App,2020-01-10,2025-11-08,53.0,17,22701.1,1335.3588235294117,84,3,5,5,355,13,Leales,False,True
C03555,Trujillo,M,51.0,Masivo,Tienda,2020-01-10,2025-09-15,107.0,3,4695.86,1565.2866666666666,17,2,1,1,211,4,Bajo valor,True,True
C08863,Lima,F,18.0,Masivo,Tienda,2020-01-10,2025-12-28,3.0,12,32515.68,2709.64,76,5,2,5,525,12,Nuevos o prometedores,False,True
C12402,Lima,No especificado,31.0,Masivo,,2020-01-10,2025-11-20,41.0,14,28864.63,2061.759285714286,89,3,3,5,335,11,Alto valor,False,True
C10806,Cusco,No especificado,40.0,Masivo,Web,2020-01-10,2025-11-07,54.0,11,12630.28,1148.2072727272728,68,3,2,3,323,8,Regular,False,True
C05186,Lima,F,39.0,Masivo,Web,2020-01-10,2025-03-29,277.0,13,6880.2,529.2461538461538,76,1,3,1,131,5,En riesgo,True,True
C08011,Trujillo,F,37.0,Preferente,Web,2020-01-11,2025-10-05,87.0,16,17449.0,1090.5625,74,2,4,4,244,10,Alto valor,False,True
C03693,Trujillo,M,,Masivo,App,2020-01-11,2025-10-31,61.0,16,13220.99,826.311875,73,2,4,3,243,9,En riesgo,False,True
C08144,Lima,M,44.0,Masivo,Web,2020-01-11,2025-12-28,3.0,8,27031.5,3378.9375,51,5,1,5,515,11,Nuevos o prometedores,False,True
C04194,Piura,M,22.0,Masivo,Web,2020-01-11,2025-05-18,227.0,5,1396.03,279.206,15,1,1,1,111,3,Bajo valor,True,True
C06795,Lima,F,38.0,Masivo,Tienda,2020-01-11,2025-12-17,14.0,10,15446.28,1544.6280000000002,63,4,1,4,414,9,Nuevos o prometedores,False,True
C12488,Lima,F,34.0,Preferente,Tienda,2020-01-12,2025-10-30,62.0,19,6859.09,361.0047368421053,80,2,5,1,251,8,En riesgo,False,True
C06750,Trujillo,M,24.0,Masivo,Tienda,2020-01-12,2025-07-02,182.0,12,10379.34,864.945,53,1,2,2,122,5,Bajo valor,True,True
C06827,Arequipa,M,46.0,Masivo,Web,2020-01-12,2025-12-31,0.0,11,16645.54,1513.230909090909,72,5,2,4,524,11,Nuevos o prometedores,False,True
C03698,Arequipa,M,47.0,Preferente,Tienda,2020-01-12,2025-12-17,14.0,12,18799.32,1566.61,73,4,2,4,424,10,Nuevos o prometedores,False,True
C11106,Lima,M,33.0,Masivo,Tienda,2020-01-12,2025-12-05,26.0,16,11085.17,692.823125,68,4,4,3,443,11,Leales,False,True
C13480,Piura,M,54.0,Masivo,Tienda,2020-01-12,2025-09-19,103.0,11,6235.43,566.8572727272727,63,2,2,1,221,5,Bajo valor,True,True
C06570,Lima,M,41.0,Masivo,,2020-01-12,2025-12-29,2.0,15,7764.33,517.622,44,5,4,2,542,11,Leales,False,True
C01972,Cusco,M,33.0,Preferente,Web,2020-01-12,2025-04-09,266.0,11,7602.53,691.1390909090909,64,1,2,2,122,5,Bajo valor,True,True
C09640,Lima,M,45.0,Masivo,App,2020-01-12,2025-12-23,8.0,16,12316.96,769.81,77,5,4,3,543,12,Leales,False,True
C04174,Trujillo,F,31.0,Masivo,Tienda,2020-01-12,2025-12-21,10.0,11,10689.31,971.7554545454545,51,5,2,2,522,9,Nuevos o prometedores,False,True
C09986,Cusco,M,35.0,Preferente,App,2020-01-13,2025-12-13,18.0,17,25960.09,1527.0641176470588,92,4,5,5,455,14,Campeones,False,True
C13328,Arequipa,M,18.0,Premium,Web,2020-01-13,2025-11-15,46.0,13,9815.13,755.01,74,3,3,2,332,8,Regular,False,True
C10398,Cusco,F,33.0,Preferente,Tienda,2020-01-13,2024-08-21,497.0,12,10825.42,902.1183333333333,42,1,2,3,123,6,En riesgo,True,True
C05446,Lima,F,37.0,Preferente,Web,2020-01-13,2025-12-18,13.0,8,8924.24,1115.53,54,4,1,2,412,7,Nuevos o prometedores,False,True
C08518,Piura,M,40.0,Masivo,Tienda,2020-01-13,2025-09-04,118.0,10,3881.06,388.106,61,2,1,1,211,4,Bajo valor,True,True
C01128,Lima,F,28.0,Masivo,Tienda,2020-01-13,2025-08-18,135.0,10,6931.29,693.129,69,1,1,1,111,3,Bajo valor,True,True
C06067,Trujillo,No especificado,43.0,Preferente,App,2020-01-13,2025-12-27,4.0,14,8331.11,595.0792857142858,68,5,3,2,532,10,Regular,False,True
C01853,Trujillo,M,33.0,Masivo,Tienda,2020-01-13,2025-12-19,12.0,17,18598.88,1094.0517647058823,94,4,5,4,454,13,Campeones,False,True
C07731,Lima,F,42.0,Masivo,App,2020-01-14,2025-12-02,29.0,10,2665.94,266.594,53,3,1,1,311,5,Regular,False,True
C02470,Lima,F,30.0,Masivo,Tienda,2020-01-14,2025-12-19,12.0,15,22366.86,1491.124,105,4,4,5,445,13,Campeones,False,True
C14909,Lima,F,31.0,Masivo,Tienda,2020-01-14,2025-12-10,21.0,17,7933.95,466.7029411764706,82,4,5,2,452,11,Leales,False,True
C06108,Trujillo,F,64.0,Preferente,Tienda,2020-01-14,2025-02-12,322.0,5,6995.7699999999995,1399.154,31,1,1,1,111,3,Bajo valor,True,True
C05505,Trujillo,F,34.0,Masivo,Web,2020-01-14,2025-09-16,106.0,11,8077.37,734.3063636363636,51,2,2,2,222,6,Bajo valor,True,True
C05694,Cusco,F,46.0,Masivo,Web,2020-01-15,2025-12-16,15.0,10,6655.91,665.591,46,4,1,1,411,6,Nuevos o prometedores,False,True
C09038,Cusco,F,27.0,Masivo,Tienda,2020-01-15,2025-05-26,219.0,14,5753.77,410.98357142857145,63,1,3,1,131,5,En riesgo,True,True
C12542,Lima,M,49.0,Preferente,Tienda,2020-01-15,2025-11-07,54.0,12,9604.79,800.3991666666667,41,3,2,2,322,7,Regular,False,True
C04925,Arequipa,M,37.0,Premium,Tienda,2020-01-15,2025-12-20,11.0,15,14852.91,990.194,85,4,4,4,444,12,Campeones,False,True
C01353,Trujillo,M,23.0,Masivo,Tienda,2020-01-15,2025-12-22,9.0,12,7897.169999999999,658.0975,41,5,2,2,522,9,Nuevos o prometedores,False,True
C02173,Cusco,M,31.0,Masivo,Tienda,2020-01-15,2025-05-16,229.0,10,10422.810000000001,1042.2810000000002,40,1,1,2,112,4,Bajo valor,True,True
C10377,Arequipa,M,27.0,Masivo,Web,2020-01-15,2025-12-30,1.0,14,22935.77,1638.2692857142858,68,5,3,5,535,13,Alto valor,False,True
C12399,Trujillo,M,42.0,Masivo,Tienda,2020-01-15,2025-11-27,34.0,8,15136.91,1892.11375,37,3,1,4,314,8,Regular,False,True
C12401,Trujillo,M,42.0,Masivo,Tienda,2020-01-15,2025-07-26,158.0,13,4530.150000000001,348.473076923077,55,1,3,1,131,5,En riesgo,True,True
C14911,Cusco,F,47.0,Masivo,App,2020-01-15,2025-12-14,17.0,15,9152.689999999999,610.1793333333333,69,4,4,2,442,10,Leales,False,True
C14854,Lima,M,18.0,Masivo,Tienda,2020-01-16,2025-09-04,118.0,12,2378.54,198.21166666666667,36,2,2,1,221,5,Bajo valor,True,True
C09015,Trujillo,F,34.0,Masivo,Tienda,2020-01-16,2025-12-13,18.0,15,19721.55,1314.77,56,4,4,4,444,12,Campeones,False,True
C07137,Cusco,No especificado,26.0,Masivo,Tienda,2020-01-16,2025-11-18,43.0,12,10571.34,880.945,65,3,2,2,322,7,Regular,False,True
C00562,Lima,No especificado,47.0,Premium,Tienda,2020-01-16,2025-10-24,68.0,16,8922.71,557.669375,56,2,4,2,242,8,En riesgo,False,True
C07910,Arequipa,F,32.0,Preferente,Tienda,2020-01-16,2025-12-26,5.0,11,7248.63,658.9663636363637,48,5,2,1,521,8,Nuevos o prometedores,False,True
C11773,Lima,F,40.0,Masivo,Tienda,2020-01-16,2024-12-25,371.0,7,9135.82,1305.1171428571429,44,1,1,2,112,4,Bajo valor,True,True
C08799,Lima,F,18.0,Masivo,App,2020-01-16,2025-12-23,8.0,15,16582.65,1105.51,131,5,4,4,544,13,Campeones,False,True
C03491,Arequipa,F,53.0,Masivo,Tienda,2020-01-16,2025-11-18,43.0,8,22598.850000000002,2824.8562500000003,44,3,1,5,315,9,Regular,False,True
C08410,Trujillo,F,27.0,Masivo,Tienda,2020-01-16,2025-11-04,57.0,16,16584.07,1036.504375,69,3,4,4,344,11,Leales,False,True
C06775,Lima,F,54.0,Masivo,Web,2020-01-16,2025-07-28,156.0,15,9704.62,646.9746666666667,79,1,4,2,142,7,En riesgo,True,True
C13927,Lima,M,42.0,Preferente,Tienda,2020-01-16,2025-12-16,15.0,12,23283.32,1940.2766666666666,54,4,2,5,425,11,Nuevos o prometedores,False,True
C11459,Lima,F,33.0,Masivo,App,2020-01-16,2025-07-23,161.0,17,36569.04,2151.12,91,1,5,5,155,11,Alto valor,True,True
C03407,Lima,F,58.0,Masivo,Tienda,2020-01-16,2025-12-08,23.0,12,5844.87,487.0725,65,4,2,1,421,7,Nuevos o prometedores,False,True
C09490,Lima,F,41.0,Masivo,Tienda,2020-01-16,2025-12-30,1.0,14,43211.329999999994,3086.523571428571,91,5,3,5,535,13,Alto valor,False,True
C02819,Arequipa,F,53.0,Masivo,Tienda,2020-01-17,2025-09-29,93.0,10,17689.82,1768.982,80,2,1,4,214,7,En riesgo,True,True
C11386,Lima,F,55.0,Premium,Tienda,2020-01-17,2025-11-02,59.0,11,4274.24,388.5672727272727,57,3,2,1,321,6,Regular,False,True
C12046,Trujillo,F,38.0,Premium,Tienda,2020-01-17,2025-11-14,47.0,16,12787.19,799.199375,75,3,4,3,343,10,Leales,False,True
C10231,Trujillo,F,29.0,Premium,Tienda,2020-01-17,2025-11-19,42.0,14,10311.72,736.5514285714286,67,3,3,2,332,8,Regular,False,True
C03034,Arequipa,M,40.0,Masivo,,2020-01-17,2025-12-30,1.0,16,12913.73,807.108125,95,5,4,3,543,12,Leales,False,True
C00813,Arequipa,F,52.0,Masivo,Tienda,2020-01-18,2025-12-26,5.0,20,21590.47,1079.5235,93,5,5,5,555,15,Campeones,False,True
C13531,Trujillo,F,18.0,Masivo,App,2020-01-18,2025-12-17,14.0,14,22161.25,1582.9464285714287,60,4,3,5,435,12,Alto valor,False,True
C01746,Lima,M,18.0,Masivo,Web,2020-01-18,2025-10-30,62.0,18,20728.11,1151.5616666666667,76,2,5,5,255,12,Alto valor,False,True
C06907,Lima,F,28.0,Preferente,Tienda,2020-01-18,2025-07-12,172.0,16,41384.53,2586.533125,95,1,4,5,145,10,Alto valor,True,True
C10932,Arequipa,M,25.0,Masivo,Tienda,2020-01-18,2025-11-29,32.0,15,18355.2,1223.68,92,3,4,4,344,11,Leales,False,True
C07642,Lima,F,46.0,Premium,Web,2020-01-19,2025-06-15,199.0,16,22792.5,1424.53125,98,1,4,5,145,10,Alto valor,True,True
C04028,Trujillo,F,28.0,Masivo,Tienda,2020-01-19,2025-11-30,31.0,18,13949.08,774.9488888888889,68,3,5,3,353,11,Leales,False,True
C00170,Piura,F,57.0,Preferente,Web,2020-01-19,2025-12-09,22.0,11,10381.92,943.8109090909091,47,4,2,2,422,8,Nuevos o prometedores,False,True
C03873,Arequipa,F,38.0,Masivo,App,2020-01-19,2025-12-01,30.0,13,14965.949999999999,1151.226923076923,55,3,3,4,334,10,Alto valor,False,True
C07102,Arequipa,M,49.0,Preferente,Tienda,2020-01-19,2025-07-17,167.0,13,27870.78,2143.9061538461538,56,1,3,5,135,9,Alto valor,True,True
C10511,Lima,F,29.0,Masivo,Tienda,2020-01-19,2025-09-08,114.0,8,3248.6,406.075,52,2,1,1,211,4,Bajo valor,True,True
C11394,Trujillo,M,32.0,Masivo,Tienda,2020-01-20,2025-12-20,11.0,12,22365.82,1863.8183333333334,63,4,2,5,425,11,Nuevos o prometedores,False,True
C11221,Cusco,F,40.0,Masivo,App,2020-01-20,2025-12-17,14.0,8,3848.8999999999996,481.11249999999995,41,4,1,1,411,6,Nuevos o prometedores,False,True
C13208,Arequipa,F,66.0,Masivo,Tienda,2020-01-20,2025-12-29,2.0,13,11556.779999999999,888.9830769230769,64,5,3,3,533,11,Regular,False,True
C04803,Lima,M,31.0,Masivo,Tienda,2020-01-21,2025-11-03,58.0,11,11021.37,1001.9427272727273,75,3,2,3,323,8,Regular,False,True
C00056,Piura,F,43.0,Masivo,Tienda,2020-01-21,2025-08-11,142.0,19,15423.58,811.7673684210527,97,1,5,4,154,10,Alto valor,True,True
C01014,Lima,M,39.0,Premium,Tienda,2020-01-21,2025-12-23,8.0,15,12690.67,846.0446666666667,59,5,4,3,543,12,Leales,False,True
C13124,Lima,F,48.0,Premium,Tienda,2020-01-21,2025-12-14,17.0,16,3956.33,247.270625,61,4,4,1,441,9,Leales,False,True
C05339,Trujillo,F,,Masivo,Tienda,2020-01-21,2025-12-23,8.0,13,14756.26,1135.096923076923,81,5,3,4,534,12,Alto valor,False,True
C03174,Trujillo,F,24.0,Masivo,Tienda,2020-01-22,2025-12-18,13.0,8,6181.73,772.71625,51,4,1,1,411,6,Nuevos o prometedores,False,True
C07475,Cusco,No especificado,50.0,Masivo,App,2020-01-22,2025-07-13,171.0,15,14405.11,960.3406666666667,60,1,4,3,143,8,En riesgo,True,True
C01866,Trujillo,F,36.0,Masivo,App,2020-01-22,2025-12-14,17.0,16,15197.599999999999,949.8499999999999,65,4,4,4,444,12,Campeones,False,True
C08812,Lima,F,57.0,Masivo,Web,2020-01-22,2025-12-24,7.0,18,12745.93,708.1072222222223,53,5,5,3,553,13,Leales,False,True
C06509,Lima,M,48.0,Masivo,Web,2020-01-22,2025-10-05,87.0,10,6866.08,686.608,49,2,1,1,211,4,Bajo valor,False,True
C10080,Lima,M,54.0,Masivo,Tienda,2020-01-22,2025-11-14,47.0,14,13122.62,937.33,88,3,3,3,333,9,Regular,False,True
C00010,Lima,M,24.0,Masivo,Tienda,2020-01-22,2025-10-04,88.0,13,8571.38,659.336923076923,51,2,3,2,232,7,En riesgo,False,True
C10606,Lima,M,52.0,Premium,Tienda,2020-01-22,2025-12-27,4.0,19,26152.73,1376.4594736842105,120,5,5,5,555,15,Campeones,False,True
C06047,Lima,F,36.0,Masivo,Web,2020-01-22,2025-12-23,8.0,11,12202.880000000001,1109.3527272727274,63,5,2,3,523,10,Nuevos o prometedores,False,True
C12631,Lima,M,20.0,Masivo,Web,2020-01-23,2025-12-17,14.0,12,17644.18,1470.3483333333334,85,4,2,4,424,10,Nuevos o prometedores,False,True
C00711,Trujillo,M,39.0,Preferente,Tienda,2020-01-23,2025-11-23,38.0,11,14198.949999999999,1290.8136363636363,59,3,2,3,323,8,Regular,False,True
C10315,Arequipa,F,56.0,Preferente,Tienda,2020-01-23,2025-02-19,315.0,9,2837.81,315.3122222222222,57,1,1,1,111,3,Bajo valor,True,True
C05905,Lima,F,43.0,Masivo,Web,2020-01-23,2025-06-10,204.0,10,10206.15,1020.615,50,1,1,2,112,4,Bajo valor,True,True
C07144,Lima,F,43.0,Masivo,Tienda,2020-01-23,2025-12-14,17.0,13,6099.85,469.2192307692308,77,4,3,1,431,8,Regular,False,True
C03521,Trujillo,M,43.0,Masivo,Tienda,2020-01-23,2025-12-20,11.0,14,12098.15,864.1535714285714,58,4,3,3,433,10,Regular,False,True
C11049,Arequipa,F,35.0,Masivo,Web,2020-01-23,2025-11-24,37.0,13,17050.22,1311.5553846153848,58,3,3,4,334,10,Alto valor,False,True
C04895,Lima,F,37.0,Premium,Tienda,2020-01-23,2025-08-19,134.0,11,8567.54,778.8672727272728,59,1,2,2,122,5,Bajo valor,True,True
C07823,Lima,M,31.0,Masivo,Tienda,2020-01-23,2025-12-28,3.0,14,19288.43,1377.7450000000001,65,5,3,4,534,12,Alto valor,False,True
C06141,Lima,M,49.0,Masivo,Tienda,2020-01-23,2025-12-28,3.0,13,7233.28,556.4061538461539,67,5,3,1,531,9,Regular,False,True
C02022,Arequipa,M,47.0,Masivo,Tienda,2020-01-23,2025-09-04,118.0,12,12443.279999999999,1036.9399999999998,61,2,2,3,223,7,En riesgo,True,True
C08194,Lima,M,48.0,Masivo,Tienda,2020-01-23,2025-07-01,183.0,12,13105.490000000002,1092.1241666666667,79,1,2,3,123,6,En riesgo,True,True
C09964,Trujillo,M,49.0,Masivo,Tienda,2020-01-24,2025-12-02,29.0,12,17085.47,1423.7891666666667,58,3,2,4,324,9,Regular,False,True
C05634,Piura,F,30.0,Premium,App,2020-01-25,2025-11-25,36.0,17,17549.94,1032.3494117647058,89,3,5,4,354,12,Leales,False,True
C03903,Piura,F,34.0,Premium,Tienda,2020-01-25,2025-11-11,50.0,13,14176.74,1090.5184615384615,81,3,3,3,333,9,Regular,False,True
C02860,Arequipa,M,28.0,Preferente,Tienda,2020-01-25,2025-09-03,119.0,13,4209.92,323.84000000000003,41,2,3,1,231,6,En riesgo,True,True
C01388,Cusco,F,40.0,Premium,App,2020-01-25,2025-05-12,233.0,15,25912.66,1727.5106666666666,104,1,4,5,145,10,Alto valor,True,True
C13273,Lima,F,29.0,Masivo,Tienda,2020-01-25,2025-11-08,53.0,9,8599.89,955.5433333333333,51,3,1,2,312,6,Regular,False,True
C07386,Lima,M,57.0,Premium,App,2020-01-25,2025-07-10,174.0,11,5725.13,520.4663636363637,76,1,2,1,121,4,Bajo valor,True,True
C10413,Cusco,F,44.0,Preferente,Tienda,2020-01-25,2025-08-31,122.0,13,10259.68,789.2061538461538,52,1,3,2,132,6,En riesgo,True,True
C14849,Lima,No especificado,43.0,Masivo,Web,2020-01-25,2025-12-25,6.0,14,11172.11,798.0078571428572,82,5,3,3,533,11,Regular,False,True
C09683,Lima,M,35.0,Masivo,Tienda,2020-01-25,2025-09-15,107.0,12,5207.57,433.96416666666664,67,2,2,1,221,5,Bajo valor,True,True
C13834,Lima,F,39.0,Masivo,Tienda,2020-01-25,2025-12-15,16.0,13,12183.71,937.2084615384615,82,4,3,3,433,10,Regular,False,True
C00754,Arequipa,M,25.0,Masivo,Web,2020-01-25,2025-10-01,91.0,15,14325.85,955.0566666666667,80,2,4,3,243,9,En riesgo,True,True
C09809,Trujillo,M,58.0,Masivo,Tienda,2020-01-25,2025-07-02,182.0,9,3868.92,429.88,44,1,1,1,111,3,Bajo valor,True,True
